City,Slum_HH,PMAY.PMAY_HH,Surplus,Latitude,Longitude
Doda,588,1955,1367,33.1457497,75.5480491
Ron,348,1712,1364,15.6995608,75.7329592
Kunnamkulam,362,1724,1362,10.6507741,76.0693806
Tijara,105,1466,1361,27.9336735,76.8540822
Mataundh,240,1599,1359,25.4366605,80.155418
Mirganj,381,1738,1357,26.3695853,84.3357992
Oel,354,1711,1357,27.8405944,80.7449997
Sarangpur,3059,4413,1354,22.1572526,71.7711448
Harij,356,1706,1350,23.6951994,71.9065377
Nautanwa,880,2228,1348,27.4241659,83.4269996
Pawai,1074,2412,1338,24.273777,80.1653109
Birsinghpur,336,1674,1338,24.8003118,80.97329239999999
Saidpur,69,1405,1336,25.5517971,83.1833851
Dharampur,251,1584,1333,20.5435637,73.1820747
Bansi,1534,2863,1329,27.1751518,82.93146
Sultanpur,736,2063,1327,26.2585371,82.06598579999999
Bilgram,651,1975,1324,27.1735384,80.0339312
Sillod,272,1594,1322,20.3079382,75.65281159999999
Kundgol,489,1804,1315,15.2663473,75.2645628
Kumhari,2121,3435,1314,21.2477322,81.5161238
Bikramganj,303,1617,1314,25.2214162,84.2639954
Dhaura,82,1396,1314,29.5771065,79.6719616
Gonda,893,2197,1304,27.1339874,81.96189790000001
Alandi,266,1567,1301,18.6782865,73.89503359999999
Hosur,2942,4236,1294,12.7409127,77.8252923
Khusrupur,214,1507,1293,25.4810818,85.38853329999999
Thane,76072,77345,1273,19.2122949,72.97716609999999
Jawar,500,1763,1263,21.9296946,76.4620928
Savanur,1297,2557,1260,14.9724912,75.3355694
Balotra,637,1888,1251,25.8302463,72.24556989999999
Kondagaon,1354,2603,1249,19.595393,81.664585
Charkhari,582,1830,1248,25.4018785,79.7501005
Paithan,549,1797,1248,19.4776906,75.3849382
Sikanderpur,407,1652,1245,26.0368058,84.0378894
Khordha,1115,2358,1243,20.1862584,85.62227419999999
Beawar,834,2072,1238,26.104585,74.31990379999999
Sadat,69,1304,1235,25.6719892,83.3014319
Rudauli,1772,3004,1232,26.7509049,81.7513551
Sathyamangalam,1362,2593,1231,11.5034192,77.24443480000001
Vallam,309,1539,1230,10.7140158,79.0701548
Jhalda,2608,3836,1228,23.322794,86.2339664
Bodri,190,1416,1226,22.030449,82.1115119
Faridnagar,421,1644,1223,28.7706397,77.6249734
Sabroom,370,1593,1223,23.0097804,91.7198215
Rau,1210,2429,1219,22.6399382,75.8033385
Maniyar,287,1491,1204,25.9896368,84.1448328
Bangarmau,596,1798,1202,26.8917079,80.2126756
Santir,1293,2493,1200,20.593684,78.96288
Sankeshwar,674,1874,1200,16.2600491,74.4836128
Dubrajpur,4028,5217,1189,23.7940598,87.3746285
Sholinganallur,1019,2207,1188,12.9009877,80.2279301
Khariar,1556,2735,1179,20.2866522,82.762337
Sonamura,943,2119,1176,23.4754364,91.2646048
Karad,418,1581,1163,17.277693,74.1843535
Limbdi,144,1307,1163,22.5687621,71.801943
Balrampur,1323,2483,1160,27.4307473,82.1805203
Panipat,2369,3528,1159,29.3909464,76.9635023
Sidhauli,654,1809,1155,27.2820753,80.83442939999999
Amalapuram,4516,5667,1151,16.5774798,82.0031455
Kathera,529,1679,1150,25.2352979,78.9146798
Chengalpattu,3325,4472,1147,12.6819372,79.98884129999999
Sambhal,3853,4998,1145,28.5903614,78.5717631
Aland,2409,3549,1140,17.5676275,76.5661622
Maheshwar,974,2113,1139,22.1772853,75.5829782
Jhajha,287,1419,1132,24.7744999,86.3756867
Dharmanagar,2991,4120,1129,24.3783242,92.1548473
Naregal,626,1752,1126,15.577652,75.8040022
Uran,460,1580,1120,18.8772346,72.9283391
Shirur,1288,2404,1116,18.8249105,74.37754679999999
Rasulabad,1029,2137,1108,26.6760579,79.77783509999999
Tikri,497,1603,1106,29.2297489,77.3518265
Chhaya,124,1228,1104,21.6286924,69.6378404
Chitrakoot,1960,3058,1098,25.1788154,80.86545339999999
Manjlegaon,1226,2321,1095,19.1646654,76.2044549
Barahiya,371,1466,1095,25.283259,86.0229167
Vaijapur,992,2084,1092,19.9256818,74.72848119999999
Anklav,135,1223,1088,22.377476,72.99920130000001
Gariadhar,137,1223,1086,21.5397055,71.57755809999999
Aurad,392,1477,1085,18.2496144,77.41568889999999
Kopaganj,331,1413,1082,26.0194073,83.56297459999999
Dehgam,168,1250,1082,23.1637196,72.81024500000001
Diamond,1912,2989,1077,19.0617931,72.8598442
Chakardharpur,1324,2400,1076,22.6765454,85.62549969999999
Gulaothi,93,1167,1074,28.5902291,77.7936081
Himatnagar,650,1722,1072,23.5968857,72.9630378
Purwa,658,1729,1071,26.4566318,80.771321
Mallawan,377,1444,1067,27.0339715,80.1596041
Khutar,674,1738,1064,28.2062491,80.2683718
Maurawan,438,1502,1064,26.4279644,80.8709872
Banda,3933,4995,1062,25.4762689,80.3395498
Teonthar,309,1367,1058,24.9807516,81.64288429999999
Idar,266,1324,1058,23.8395124,73.0006449
Mohan,818,1875,1057,26.7790194,80.675692
Savner,802,1857,1055,21.3855542,78.9217522
Thangadh,777,1830,1053,22.5761472,71.2009861
Doghat,595,1647,1052,29.1898761,77.36402570000001
Barkhera,441,1490,1049,28.4542659,79.80630210000001
Sandila,1500,2544,1044,27.0764686,80.51791329999999
Surajpur,416,1457,1041,23.2136011,82.8679549
Vizianagaram,24586,25619,1033,18.1066576,83.39555059999999
Paliya,1444,2474,1030,25.8505095,83.36650209999999
Basavana,755,1784,1029,20.593684,78.96288
Samana,547,1572,1025,30.1541376,76.1977362
Kemri,357,1380,1023,28.8066221,79.2028155
Lidhora,131,1153,1022,25.3511245,78.6710756
Dhanpuri,328,1347,1019,23.2307927,81.4690932
Konnagar,982,1997,1015,22.699652,88.3183261
Isagarh,497,1512,1015,24.8429999,77.877796
Badnawar,737,1747,1010,23.0207891,75.23357880000002
Mundi,136,1143,1007,22.0771811,76.4794435
Damoh,10436,11437,1001,23.8323022,79.4386591
Udupi,1946,2946,1000,13.3439188,74.74745039999999
Bilsi,99,1098,999,28.1282088,78.90634829999999
Multai,220,1218,998,21.7751821,78.2571256
Kinwat,264,1259,995,19.6245949,78.1963404
Holalkere,863,1855,992,14.0541336,76.1957618
Dainhat,1825,2814,989,23.6052951,88.17182369999999
Partur,520,1509,989,19.5857562,76.213349
Siana,1784,2767,983,28.6279101,78.0609138
Ambad,337,1318,981,19.6177051,75.79573830000001
Jhinjhak,104,1084,980,26.5612692,79.7363408
Baldeogarh,539,1516,977,24.7490242,79.0673302
Yelbarga,320,1297,977,15.6137488,76.0119471
Mandav,324,1300,976,22.3339828,75.4003026
Talen,775,1750,975,23.5688622,76.72932329999999
Kurara,385,1352,967,25.9863261,80.0367259
Sedam,1449,2415,966,17.1734623,77.2800639
Handia,925,1887,962,25.3627247,82.18987030000001
Bhuban,423,1381,958,20.8793162,85.83582589999999
Mau,545,1501,956,25.9462838,83.5610119
Raybag,1112,2062,950,16.4941345,74.7746684
Lanka,148,1098,950,25.9208754,92.950392
Shahjahanpur,5020,5969,949,27.8753399,79.9147268
Arang,686,1630,944,21.1956152,81.962186
Kharupatia,641,1583,942,26.5096965,92.13520390000001
Chavakkad,175,1114,939,10.5782382,76.01908860000002
Lala,234,1169,935,24.5555062,92.5941239
Munger,330,1255,925,25.3707993,86.47339029999999
Muradnagar,726,1650,924,28.7718326,77.5074593
Jeron,578,1501,923,25.0911888,78.67391169999999
Bhatgaon,93,1016,923,21.1576375,81.7198935
Kalamnuri,711,1630,919,19.6751188,77.3079806
Kakarhati,774,1690,916,24.5703392,80.26001
Ghughuli,599,1510,911,27.0937361,83.7365154
Mendu,371,1279,908,27.6042915,78.1051246
Bayad,248,1152,904,23.225963,73.2145309
Dimapur,2441,3344,903,25.9091406,93.72656049999999
Pihani,889,1791,902,27.6199798,80.2006713
Khargapur,891,1782,891,24.8215826,79.13791959999999
Pardi,887,1774,887,20.5124532,72.947993
Indi,798,1685,887,17.1751648,75.9554927
Kothri,145,1027,882,23.0709041,76.8317325
Kithaur,96,976,880,28.8651202,77.93674089999999
Bisanda,880,1756,876,25.4024815,80.6174279
Shahpura,1003,1872,869,27.3842893,75.9611437
